artist,rank,song,year
Anita Bryant,41,Paper Roses,1960
Larry Verne,42,Mr. Custer,1960
Brenda Lee,43,I Want to Be Wanted,1960
The Fendermen,44,Mule Skinner Blues,1960
Johnny Preston,45,Cradle of Love,1960
Marv Johnson,46,You Got What It Takes,1960
Hank Locklin,47,"Please Help Me, I'm Falling",1960
Ron Holden,48,"""Love You So""",1960
Hank Ballard and The Midnighters,49,"""Finger Poppin' Time""",1960
The Platters,50,Harbor Lights,1960
Billy Bland,51,"""Let the Little Girl Dance""",1960
Jeanne Black,52,He'll Have to Stay,1960
Ferrante &amp; Teicher,53,"""Theme From The Apartment""",1960
Bobby Rydell,54,Volare,1960
Jimmy Charles,55,A Million to One,1960
Andy Williams,56,The Village of St. Bernadette,1960
Bill Black's Combo,57,White Silver Sands,1960
The Browns,58,The Old Lamp-Lighter,1960
Bobby Vee,59,Devil or Angel,1960
The Four Preps,60,Down by the Station,1960
"The Little Dippers
",61,Forever,1960
The Safaris,62,"""Image of a Girl""",1960
Brook Benton,63,Kiddio,1960
Donnie Brooks,64,"""Mission Bell""",1960
Marv Johnson,65,"""I Love The Way You Love""",1960
Paul Anka,66,"""It's Time to Cry""",1960
Ray Peterson,67,Tell Laura I Love Her,1960
Connie Francis,68,Mama,1960
Steve Lawrence,69,Footsteps,1960
The Everly Brothers,70,So Sad,1960
Brenda Lee,71,That's All You Gotta Do,1960
Fats Domino,72,Walking to New Orleans,1960
Connie Francis,73,Among My Souvenirs,1960
Bobby Rydell,74,Swingin' School,1960
Dinah Washington,75,A Rockin' Good Way (To Mess Around and Fall in Love),1960
Neil Sedaka,76,Stairway to Heaven,1960
Paul Anka,77,"""My Home Town""",1960
Ray Charles,78,Georgia on My Mind,1960
Skip and Flip,79,Cherry Pie,1960
Sam Cooke,80,Wonderful World,1960
Spencer Ross,81,Tracy's Theme,1960
Lloyd Price,82,"""Lady Luck""",1960
The Crests,83,"""Step by Step""",1960
Paul Evans,84,"""Happy-Go-Lucky Me""",1960
Ricky Nelson,85,Young Emotions,1960
Johnny Burnette,86,Dreamin',1960
Johnny Tillotson,87,Poetry in Motion,1960
Annette Funicello,88,"""O Dio Mio""",1960
Joe Jones,89,You Talk Too Much,1960
Johnny and the Hurricanes,90,Beatnik Fly,1960
The Everly Brothers,91,When Will I Be Loved,1960
Bob Luman,92,"""Let's Think About Livin""",1960
Guy Mitchell,93,Heartaches by the Number,1960
Anita Bryant,94,My Little Corner of the World,1960
Jackie Wilson,95,Doggin' Around,1960
Bobby Rydell,96,Little Bitty Girl,1960
Barrett Strong,97,Money (That's What I Want),1960
Maurice Williams and the Zodiacs,98,Stay,1960
Charlie Rich,99,"""Lonely Weekends""",1960
Larry Hall,100,"""Sandy""",1960
Bobby Lewis,1,Tossin' and Turnin',1961
Patsy Cline,2,I Fall to Pieces,1961
The Highwaymen,3,Michael,1961
Roy Orbison,4,Crying,1961
Del Shannon,5,Runaway,1961
The Jive Five,6,My True Story,1961
Chubby Checker,7,Pony Time,1961
The String-A-Longs,8,Wheels,1961
Dee Clark,9,Raindrops,1961
Joe Dowell,10,Wooden Heart,1961
Lawrence Welk,11,Calcutta,1961
Bobby Vee,12,Take Good Care of My Baby,1961
Roy Orbison,13,Running Scared,1961
The Shirelles,14,Dedicated to the One I Love,1961
The Mar-Keys,15,Last Night,1961
The Shirelles,16,Will You Love Me Tomorrow,1961
Ferrante &amp; Teicher,17,"""Exodus""",1961
Connie Francis,18,Where the Boys Are,1961
Ray Charles,19,Hit the Road Jack,1961
Sue Thompson,20,Sad Movies (Make Me Cry),1961
Ernie K-Doe,21,Mother-in-Law,1961
The Dovells,22,Bristol Stomp,1961
Ricky Nelson,23,Travelin' Man,1961
The Miracles,24,Shop Around,1961
Brook Benton,25,The Boll Weevil Song,1961
Gene McDaniels,26,A Hundred Pounds of Clay,1961
Dick and Dee Dee,27,The Mountain's High,1961
Marty Robbins,28,Don't Worry,1961
Floyd Cramer,29,On the Rebound,1961
Steve Lawrence,30,Portrait of My Love,1961
Gary U.S. Bonds,31,Quarter to Three,1961
Barry Mann,32,"Who Put the Bomp (in the Bomp, Bomp, Bomp)",1961
Neil Sedaka,33,Calendar Girl,1961
Chris Kenner,34,I Like It Like That,1961
Jørgen Ingmann,35,Apache,1961
Linda Scott,36,Don't Bet Money Honey,1961
Johnny Tillotson,37,Without You,1961
Ferlin Husky,38,Wings of a Dove,1961
Elvis Presley,39,Little Sister,1961
The Marcels,40,Blue Moon,1961
Shep and the Limelites,41,Daddy's Home,1961
Troy Shondell,42,This Time,1961
"Clarence ""Frogman"" Henry",43,(I Don't Know Why) But I Do,1961
Kokomo,44,Asia Minor,1961
Faron Young,45,Hello Walls,1961
Dion,46,Runaround Sue,1961
Arthur Lyman,47,Yellow Bird,1961
Timi Yuro,48,Hurt,1961
Ricky Nelson,49,Hello Mary Lou,1961
The Capris,50,There's a Moon Out Tonight,1961
Elvis Presley,51,Surrender,1961
The Paris Sisters,52,I Love How You Love Me,1961
Lee Dorsey,53,Ya Ya,1961
Gary U.S. Bonds,54,"""School Is Out""",1961
Bob Moore,55,Mexico,1961
Ral Donner,56,You Don't Know What You've Got (Until You Lose It),1961
The Everly Brothers,57,Walk Right Back,1961
The Lettermen,58,The Way You Look Tonight,1961
Pat Boone,59,Moody River,1961
Ray Charles,60,One Mint Julep,1961
Adam Wade,61,Take Good Care of Her,1961
Carla Thomas,62,"""Gee Whiz (Look at His Eyes)""",1961
Ben E. King,63,Stand by Me,1961
Ben E. King,64,Spanish Harlem,1961
Ike and Tina Turner,65,It's Gonna Work Out Fine,1961
The Echoes,66,Baby Blue,1961
Buzz Clifford,67,Baby Sittin' Boogie,1961
Del Shannon,68,Hats Off to Larry,1961
Little Caesar &amp; the Romans,69,"""Those Oldies But Goodies""",1961
Chubby Checker,70,"""The Fly""",1961
Elvis Presley,71,(Marie's the Name) His Latest Flame,1961
Bert Kaempfert,72,Wonderland by Night,1961
Tony Orlando,73,Bless You,1961
Linda Scott,74,I've Told Every Little Star,1961
Bobby Lewis,75,"""One Track Mind""",1961
Rosie and the Originals,76,Angel Baby,1961
Curtis Lee,77,Pretty Little Angel Eyes,1961
Brook Benton,78,Think Twice,1961
Lonnie Donegan,79,Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?),1961
Connie Francis,80,Breakin' in a Brand New Broken Heart,1961
The Shirelles,81,Mama Said,1961
Fats Domino,82,"""Let the Four Winds Blow""",1961
Adam Wade,83,The Writing on the Wall,1961
Matt Monro,84,My Kind of Girl,1961
Paul Anka,85,"Tonight My Love, Tonight",1961
Floyd Cramer,86,San Antonio Rose,1961
Jimmy Dean,87,Big Bad John,1961
Bobby Rydell,88,Good Time Baby,1961
Bobby Vee,89,Rubber Ball,1961
Ray Peterson,90,Missing You,1961
Brenda Lee,91,Dum Dum,1961
Eddie Hodges,92,I'm Gonna Knock on Your Door,1961
Brenda Lee,93,You Can Depend on Me,1961
Chubby Checker,94,Let's Twist Again,1961
The Dave Brubeck Quartet,95,Take Five,1961
Elvis Presley,96,Are You Lonesome Tonight?,1961
Don Gibson,97,Sea of Heartbreak,1961
The Four Preps,98,"""More Money for You and Me""",1961
Bobby Darin,99,You Must Have Been a Beautiful Baby,1961
The Drifters,100,Please Stay,1961
Acker Bilk,1,Stranger on the Shore,1962
Ray Charles,2,I Can't Stop Loving You,1962
Dee Dee Sharp,3,Mashed Potato Time,1962
Bobby Vinton,4,Roses Are Red (My Love),1962
David Rose,5,The Stripper,1962
Shelley Fabares,6,Johnny Angel,1962
Little Eva,7,The Loco-Motion,1962
