rank,song,artist,year,nationality,country
72,Groovin',Booker T &amp; the M.G.'s,1967, U.S.,US
73,Funky Broadway,Wilson Pickett,1967, United States,US
74,Pleasant Valley Sunday,The Monkees,1967, U.S.,US
75,I Never Loved a Man (The Way I Love You),Aretha Franklin,1967, U.S.,US
76,Tell It Like It Is,Aaron Neville,1967, United States,US
77,Cold Sweat,James Brown,1967, U.S.,US
78,She'd Rather Be with Me,The Turtles,1967, United States,US
79,98.6,Keith,1967, United States,US
80,Here We Go Again,Ray Charles,1967, U.S.[1],US
81,White Rabbit,Jefferson Airplane,1967, U.S.,US
82,Bernadette,Four Tops,1967, U.S.,US
83,The Beat Goes On,Sonny &amp; Cher,1967,United States,US
84,Snoopy Vs. The Red Baron,The Royal Guardsmen,1967, United States,US
85,Society's Child,Janis Ian,1967, U.S.,US
86,"Girl, You'll Be a Woman Soon",Neil Diamond,1967, U.S.,US
87,Ain't No Mountain High Enough,Marvin Gaye,1967, U.S.,US
88,"""I Take It Back""",Sandy Posey,1967, United States,US
89,Here Comes My Baby,The Tremeloes,1967, England,UK
90,Everlasting Love,Robert Knight,1967, U.S.,US
91,I Dig Rock and Roll Music,"Peter, Paul and Mary",1967, U.S.,US
92,"Little Ole Man (Uptight, Everything's Alright)",Bill Cosby,1967, U.S.,US
93,I Had Too Much to Dream (Last Night),The Electric Prunes,1967, United States,US
94,Daydream Believer,The Monkees,1967, U.S.,US
95,Baby I Need Your Lovin',Johnny Rivers,1967, United States,US
96,Mirage,Tommy James and the Shondells,1967, U.S.,US
97,"Green, Green Grass of Home",Tom Jones,1967, Wales,UK
98,I Can See for Miles,The Who,1967, England,UK
99,Don't Sleep in the Subway,Petula Clark,1967, England,UK
100,"""Thank the Lord for the Night Time""",Neil Diamond,1967, U.S.,US
1,Hey Jude,The Beatles,1968, England,UK
2,Love is Blue,Paul Mauriat,1968, France,France
3,Honey,Bobby Goldsboro,1968, United States[1],US
4,(Sittin' On) The Dock of the Bay,Otis Redding,1968, U.S.,US
5,People Got to Be Free,The Rascals,1968, United States,US
6,Sunshine of Your Love,Cream,1968, England,UK
7,This Guy's in Love With You,Herb Alpert,1968,Los Angeles,US
8,"The Good, the Bad and the Ugly",Hugo Montenegro,1968, U.S.,US
9,Mrs. Robinson,Simon &amp; Garfunkel,1968, U.S.,US
10,Tighten Up,Archie Bell &amp; the Drells,1968, U.S.,US
11,Harper Valley PTA,Jeannie C. Riley,1968, United States,US
12,Little Green Apples,O. C. Smith,1968, United States,US
13,Mony Mony,Tommy James and the Shondells,1968, U.S.,US
14,"Hello, I Love You",The Doors,1968, United States,US
15,Young Girl,Gary Puckett &amp; The Union Gap,1968, United States,US
16,Cry Like a Baby,The Box Tops,1968, United States,US
17,Stoned Soul Picnic,The 5th Dimension,1968, United States,US
18,Grazing in the Grass,Hugh Masekela,1968, South Africa,South Africa
19,Midnight Confessions,The Grass Roots,1968, United States,US
20,Dance to the Music,Sly &amp; the Family Stone,1968, U.S.,US
21,The Horse,Cliff Nobles,1968, United States,US
22,I Wish It Would Rain,The Temptations,1968, United States,US
23,La-La (Means I Love You),The Delfonics,1968, United States,US
24,"Turn Around, Look at Me",The Vogues,1968, United States,US
25,Judy in Disguise (With Glasses),John Fred &amp; His Playboy Band,1968, U.S.,US
26,Spooky,Classics IV,1968, U.S.,US
27,Love Child,The Supremes,1968, U.S.,US
28,Angel of the Morning,Merrilee Rush,1968, United States,US
29,The Ballad of Bonnie and Clyde,Georgie Fame,1968, England,UK
30,Those Were the Days,Mary Hopkin,1968, Wales,UK
31,Born to Be Wild,Steppenwolf,1968, United States[1],US
32,Cowboys to Girls,The Intruders,1968, United States,US
33,Simon Says,1910 Fruitgum Company,1968, United States,US
34,Lady Willpower,Gary Puckett &amp; The Union Gap,1968, United States,US
35,A Beautiful Morning,The Rascals,1968, United States,US
36,The Look of Love,SÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©rgio Mendes,1968, Brazil,Brazil
37,"""Hold Me Tight""",Johnny Nash,1968, U.S.,US
38,Yummy Yummy Yummy,Ohio Express,1968, United States,US
39,Fire,The Crazy World of Arthur Brown,1968, England,UK
40,Love Is All Around,The Troggs,1968, England,UK
41,"""Playboy""",Gene &amp; Debbe,1968, United States,US
42,(Theme from) Valley of the Dolls,Dionne Warwick,1968, U.S.,US
43,Classical Gas,Mason Williams,1968, U.S.,US
44,"""Slip Away""",Clarence Carter,1968, United States,US
45,Girl Watcher,The O'Kaysions,1968, U.S.,US
46,(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,1968, U.S.,US
47,Green Tambourine,The Lemon Pipers,1968, United States,US
48,"1, 2, 3, Red Light",1910 Fruitgum Company,1968, United States,US
49,Reach out of the Darkness,Friend &amp; Lover,1968, U.S.,US
50,Jumpin' Jack Flash,The Rolling Stones,1968, England,UK
51,MacArthur Park,Richard Harris,1968, Ireland,Ireland
52,Light My Fire,JosÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Feliciano,1968, Puerto Rico,Puerto Rico
53,I Love You,People!,1968, United States,US
54,"""Take Time to Know Her""",Percy Sledge,1968, U.S.,US
55,Pictures of Matchstick Men,Status Quo,1968, England,UK
56,Summertime Blues,Blue Cheer,1968, U.S.,US
57,Ain't Nothing Like the Real Thing,Marvin Gaye,1968, U.S.,US
58,I Got the Feelin',James Brown,1968, U.S.,US
59,I've Gotta Get a Message to You,The Bee Gees,1968, England,UK
60,Lady Madonna,The Beatles,1968, England,UK
61,Hurdy Gurdy Man,Donovan,1968, Scotland,UK
62,Magic Carpet Ride,Steppenwolf,1968, United States[1],US
63,Bottle of Wine,The Fireballs,1968, U.S.,US
64,Stay in My Corner,The Dells,1968, U.S.,US
65,Soul Serenade,Willie Mitchell,1968, United States,US
66,Delilah,Tom Jones,1968, Wales,UK
67,Nobody but Me,The Human Beinz,1968, United States,US
68,I Thank You,Sam &amp; Dave,1968,United States,US
69,The Fool on the Hill,SÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©rgio Mendes,1968, Brazil,Brazil
70,Sky Pilot,The Animals,1968, England,UK
71,Indian Lake,The Cowsills,1968, USA,US
72,I Wonder What She's Doing Tonight,Tommy Boyce &amp; Bobby Hart,1968, U.S.,US
73,Over You,Gary Puckett &amp; The Union Gap,1968, United States,US
74,Goin' Out of My Head,The Lettermen,1968, U.S.,US
75,Shoo-Be-Doo-Be-Doo-Da-Day,Stevie Wonder,1968, U.S.,US
76,The Unicorn,The Irish Rovers,1968, Ireland,Ireland
77,You Keep Me Hangin' On,Vanilla Fudge,1968, New York,US
78,Revolution,The Beatles,1968, England,UK
79,"Woman, Woman",Gary Puckett &amp; The Union Gap,1968, United States,US
80,Elenore,The Turtles,1968, United States,US
81,White Room,Cream,1968, England,UK
82,You're All I Need to Get By,Marvin Gaye,1968, U.S.,US
83,"Baby, Now That I've Found You",The Foundations,1968, England,UK
84,Sweet Inspiration,The Sweet Inspirations,1968, U.S.,US
85,If You Can Want,Smokey Robinson and the Miracles,1968, United States,US
86,"""Cab Driver""",The Mills Brothers,1968, U.S.,US
87,Time Has Come Today,The Chambers Brothers,1968, California,US
88,Do You Know the Way to San Jose,Dionne Warwick,1968, U.S.,US
89,Scarborough Fair,Simon &amp; Garfunkel,1968, U.S.,US
90,Say It Loud ÃÂÃÂÃÂÃÂ¢ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ I'm Black and I'm Proud,James Brown,1968, U.S.,US
91,The Mighty Quinn,Manfred Mann,1968, England,UK
92,Here Comes the Judge,Shorty Long,1968, U.S.,US
93,I Say a Little Prayer,Aretha Franklin,1968, U.S.,US
94,Think,Aretha Franklin,1968, U.S.,US
95,Sealed with a Kiss,Gary Lewis and the Playboys,1968, U.S.,US
96,Piece of My Heart,Big Brother and the Holding Company,1968, California,US
97,Suzie Q.,Creedence Clearwater Revival,1968, U.S.,US
98,"Bend Me, Shape Me",The American Breed,1968, United States,US
99,"Hey, Western Union Man",Jerry Butler,1968, U.S.,US
100,Never Give You Up,Jerry Butler,1968, U.S.,US
1,"Sugar, Sugar",The Archies,1969,Actual: New York CityFictional: Riverdale,US
2,Aquarius/Let the Sunshine In,The 5th Dimension,1969, United States,US
3,I Can't Get Next to You,The Temptations,1969, United States,US
4,Honky Tonk Women,The Rolling Stones,1969, England,UK
5,Everyday People,Sly and the Family Stone,1969, U.S.,US
6,Dizzy,Tommy Roe,1969, United States,US
7,Hot Fun in the Summertime,Sly and the Family Stone,1969, U.S.,US
8,I'll Never Fall in Love Again,Tom Jones,1969, Wales,UK
9,Build Me Up Buttercup,The Foundations,1969, England,UK
10,Crimson and Clover,Tommy James and the Shondells,1969, U.S.,US
11,One,Three Dog Night,1969, United States,US
12,Crystal Blue Persuasion,Tommy James and the Shondells,1969, U.S.,US
13,Hair,The Cowsills,1969, USA,US
14,Too Busy Thinking About My Baby,Marvin Gaye,1969, U.S.,US
15,Love Theme from Romeo and Juliet,Henry Mancini,1969, U.S.,US
16,Get Together,The Youngbloods,1969, United States,US
17,Grazing in the Grass,The Friends of Distinction,1969, U.S.,US
18,Suspicious Minds,Elvis Presley,1969, U.S.,US
19,Proud Mary,Creedence Clearwater Revival,1969, U.S.,US
20,What Does It Take (To Win Your Love),Jr. Walker &amp; The All Stars,1969, U.S.,US
21,It's Your Thing,The Isley Brothers,1969, U.S.,US
22,Sweet Caroline,Neil Diamond,1969, U.S.,US
23,Jean,Oliver,1969, U.S.,US
24,Bad Moon Rising,Creedence Clearwater Revival,1969, U.S.,US
25,Get Back,The Beatles,1969, England,UK
26,In the Year 2525,Zager &amp; Evans,1969, United States,US
27,Spinning Wheel,"Blood, Sweat &amp; Tears",1969, U.S.,US
28,"Baby, I Love You",Andy Kim,1969, Canada[1],Canada
29,Going in Circles,The Friends of Distinction,1969, U.S.,US
30,Hurt So Bad,The Lettermen,1969, U.S.,US
31,Green River,Creedence Clearwater Revival,1969, U.S.,US
32,My Cherie Amour,Stevie Wonder,1969, U.S.,US
33,Easy to Be Hard,Three Dog Night,1969, United States,US
34,Baby It's You,Smith,1969, United States,US
35,In the Ghetto,Elvis Presley,1969, U.S.,US
36,A Boy Named Sue,Johnny Cash,1969, U.S.,US
37,"Baby, Baby Don't Cry",The Miracles,1969, United States,US
38,Only the Strong Survive,Jerry Butler,1969, U.S.,US
39,Time of the Season,The Zombies,1969, United Kingdom,UK
40,Wedding Bell Blues,The 5th Dimension,1969, United States,US
41,Little Woman,Bobby Sherman,1969, U.S.,US
42,Love (Can Make You Happy),Mercy,1969, U.S.,US
43,Good Morning Starshine,Oliver,1969, U.S.,US
44,These Eyes,The Guess Who,1969, Canada,Canada
45,You've Made Me So Very Happy,"Blood, Sweat &amp; Tears",1969, U.S.,US
46,Put a Little Love in Your Heart,Jackie DeShannon,1969, U.S.,US
47,Do Your Thing,The Watts 103rd Street Rhythm Band,1969, U.S.,US
48,I'd Wait a Million Years,The Grass Roots,1969, United States,US
49,Touch Me,The Doors,1969, United States,US
50,More Today Than Yesterday,Spiral Starecase,1969, United States,US
51,I've Gotta Be Me,Sammy Davis Jr.,1969, U.S.,US
52,Lay Lady Lay,Bob Dylan,1969, U.S.,US
53,Atlantis,Donovan,1969, Scotland,UK
54,Traces,Classics IV,1969, U.S.,US
55,It's Getting Better,"""Mama"" Cass Elliot",1969, U.S.,US
56,This Magic Moment,Jay and the Americans,1969, United States,US
57,"Runaway Child, Running Wild",The Temptations,1969, United States,US
58,"""Hawaii Five-O""",The Ventures,1969, United States,US
59,Galveston,Glen Campbell,1969, U.S.,US
60,I'm Gonna Make You Mine,Lou Christie,1969,United States[1],US
61,Gitarzan,Ray Stevens,1969, U.S.[1],US
62,Can I Change My Mind,Tyrone Davis,1969, U.S.,US
63,Time Is Tight,Booker T &amp; the M.G.'s,1969, U.S.,US
64,This Girl's in Love With You,Dionne Warwick,1969, U.S.,US
65,Color Him Father,The Winstons,1969, United States,US
66,Black Pearl,"Checkmates, Ltd.",1969, U.S.,US
67,Indian Giver,1910 Fruitgum Company,1969, United States,US
68,Mother Popcorn,James Brown,1969, U.S.,US
69,Twenty-Five Miles,Edwin Starr,1969, United States,US
70,Things I'd Like to Say,New Colony Six,1969, U.S.,US
71,When I Die,Motherlode,1969, Canada,Canada
72,That's the Way Love Is,Marvin Gaye,1969, U.S.,US
73,Everybody's Talkin',Harry Nilsson,1969, U.S.,US
74,The Worst That Could Happen,Johnny Maestro &amp; the Brooklyn Bridge,1969, U.S.,US
75,The Chokin' Kind,Joe Simon,1969, U.S.,US
76,Smile a Little Smile for Me,The Flying Machine,1969, England,UK
77,Polk Salad Annie,Tony Joe White,1969, U.S.,US
78,"Ruby, Don't Take Your Love to Town",Kenny Rogers and The First Edition,1969,California,US
79,Games People Play,Joe South,1969, United States,US
80,You Showed Me,The Turtles,1969, United States,US
81,Tracy,The Cuff Links,1969, U.S.,US
82,"Oh, What a Night",The Dells,1969, U.S.,US
83,Something,The Beatles,1969, England,UK
84,This Girl Is a Woman Now,Gary Puckett &amp; The Union Gap,1969, United States,US
85,Come Together,The Beatles,1969, England,UK
86,Ramblin' Gamblin' Man,Bob Seger System,1969, U.S.,US
87,I'm Gonna Make You Love Me,The Supremes,1969, U.S.,US
88,I Heard It Through the Grapevine,Marvin Gaye,1969, U.S.,US
89,Gimme Gimme Good Lovin',Crazy Elephant,1969,United States,US
90,Hang 'Em High,Booker T &amp; the M.G.'s,1969, U.S.,US
91,Your Good Thing (Is About to End),Lou Rawls,1969, U.S.,US
92,"Baby, I'm for Real",The Originals,1969, United States,US
93,Oh Happy Day,Edwin Hawkins Singers,1969, U.S.,US
94,"""Love Me Tonight""",Tom Jones,1969, Wales,UK
95,"Mr. Sun, Mr. Moon",Paul Revere &amp; the Raiders,1969, U.S.,US
96,Laughing,The Guess Who,1969, Canada,Canada
97,My Whole World Ended (The Moment You Left Me),David Ruffin,1969, U.S.,US
98,"""Soul Deep""",The Box Tops,1969, United States,US
99,Hooked on a Feeling,B.J. Thomas,1969, Texas,US
100,"""Sweet Cream Ladies""",The Box Tops,1969, United States,US
1,Bridge Over Troubled Water,Simon &amp; Garfunkel,1970, U.S.,US
2,(They Long to Be) Close to You,The Carpenters,1970, United States,US
3,American Woman,The Guess Who,1970, Canada,Canada
4,Raindrops Keep Fallin' on My Head,B.J. Thomas,1970, Texas,US
5,War,Edwin Starr,1970, United States,US
6,Ain't No Mountain High Enough,Diana Ross,1970, U.S.,US
7,I'll Be There,The Jackson 5,1970, Indiana,US
8,Get Ready,Rare Earth,1970, U.S.,US
9,Let It Be,The Beatles,1970, England,UK
10,Band of Gold,Freda Payne,1970, U.S.,US
11,Mama Told Me (Not to Come),Three Dog Night,1970, United States,US
12,Everything Is Beautiful,Ray Stevens,1970, U.S.[1],US
13,Make It with You,Bread,1970, United States,US
14,Hitchin' a Ride,Vanity Fare,1970, England,UK
15,ABC,The Jackson 5,1970, Indiana,US
16,The Love You Save,The Jackson 5,1970, Indiana,US
17,Cracklin' Rosie,Neil Diamond,1970, U.S.,US
18,Candida,Dawn,1970, United States,US
19,Thank You (Falettinme Be Mice Elf Agin),Sly &amp; the Family Stone,1970, U.S.,US
20,Spill the Wine,Eric Burdon,1970, England,UK
21,O-o-h Child,Five Stairsteps,1970, United States,US
22,Spirit in the Sky,Norman Greenbaum,1970, U.S.,US
23,Lay Down (Candles in the Rain),Melanie,1970, US,US
24,Ball of Confusion (That's What the World Is Today),The Temptations,1970, United States,US
25,Love on a Two-Way Street,The Moments,1970, U.S.,US
26,Which Way You Goin' Billy?,The Poppy Family,1970, Canada,Canada
27,All Right Now,Free,1970, England,UK
28,I Want You Back,The Jackson 5,1970, Indiana,US
29,"Julie, Do Ya Love Me",Bobby Sherman,1970, U.S.,US
30,Green-Eyed Lady,Sugarloaf,1970, U.S.,US
31,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,1970, U.S.,US
32,Ride Captain Ride,Blues Image,1970, United States,US
33,Venus,Shocking Blue,1970, Netherlands,Netherlands
34,Instant Karma!,John Lennon,1970, England,UK
35,Patches,Clarence Carter,1970, United States,US
36,Lookin' out My Back Door,Creedence Clearwater Revival,1970, U.S.,US
37,Rainy Night in Georgia,Brook Benton,1970, U.S.,US
38,Something's Burning,Kenny Rogers,1970, United States,US
39,Give Me Just a Little More Time,Chairmen of the Board,1970, United States,US
40,Love Grows (Where My Rosemary Goes),Edison Lighthouse,1970, England,UK
41,The Long and Winding Road,The Beatles,1970, England,UK
42,Snowbird,Anne Murray,1970, Canada,Canada
43,Reflections of My Life,Marmalade,1970, United Kingdom,UK
44,Hey There Lonely Girl,Eddie Holman,1970, US[1],US
45,The Rapper,The Jaggerz,1970, United States,US
46,"He Ain't Heavy, He's My Brother",The Hollies,1970, England,UK
47,"Tighter, Tighter",Alive N Kickin',1970, U.S.,US
48,Come and Get It,Badfinger,1970, Wales,UK
49,Cecilia,Simon &amp; Garfunkel,1970, U.S.,US
50,Love Land,Charles Wright &amp; the Watts 103rd Street Rhythm Band,1970, U.S.,US
51,Turn Back the Hands of Time,Tyrone Davis,1970, U.S.,US
52,Lola,The Kinks,1970, England,UK
53,In the Summertime,Mungo Jerry,1970, England,UK
54,Indiana Wants Me,R. Dean Taylor,1970, Canada,Canada
55,(I Know) I'm Losing You,Rare Earth,1970, U.S.,US
56,"Easy Come, Easy Go",Bobby Sherman,1970, U.S.,US
57,Express Yourself,Charles Wright &amp; the Watts 103rd Street Rhythm Band,1970, U.S.,US
58,Still Water (Love),The Four Tops,1970, U.S.,US
59,Make Me Smile,Chicago,1970, United States,US
60,The House of the Rising Sun,Frijid Pink,1970, U.S.,US
61,25 or 6 to 4,Chicago,1970, United States,US
62,My Baby Loves Lovin',White Plains,1970,England,UK
63,Love or Let Me Be Lonely,The Friends of Distinction,1970, U.S.,US
64,United We Stand,The Brotherhood of Man,1970,United Kingdom,UK
65,We've Only Just Begun,The Carpenters,1970, United States,US
66,Arizona,Mark Lindsay,1970, U.S.,US
67,Fire and Rain,James Taylor,1970, U.S.,US
68,Groovy Situation,Gene Chandler,1970, U.S.,US
69,Evil Ways,Santana,1970, U.S.,US
70,No Time,The Guess Who,1970, Canada,Canada
71,Didn't I (Blow Your Mind This Time),The Delfonics,1970, United States,US
72,The Wonder of You,Elvis Presley,1970, U.S.,US
73,Up Around the Bend,Creedence Clearwater Revival,1970, U.S.,US
74,(If You Let Me Make Love To You Then) Why Can't I Touch You?,Ronnie Dyson,1970, United States,US
75,I Just Can't Help Believing,B.J. Thomas,1970, Texas,US
76,It's a Shame,The Spinners,1970, United States,US
77,For the Love of Him,Bobbi Martin,1970, New York,US
78,Mississippi Queen,Mountain,1970, U.S.,US
79,I Want to Take You Higher,Ike &amp; Tina Turner,1970, United States,US
80,The Letter,Joe Cocker,1970, England,UK
81,Ma Belle Amie,Tee Set,1970,Delft Netherlands,Netherlands
82,The Bells,The Originals,1970, United States,US
83,Yellow River,Christie,1970, Yorkshire,UK
84,Somebody's Been Sleeping,100 Proof (Aged in Soul),1970, U.S.,US
85,Vehicle,The Ides of March,1970, United States,US
86,Gimme Dat Ding,The Pipkins,1970, England,UK
87,Lay a Little Lovin' on Me,Robin McNamara,1970, U.S.,US
88,Up the Ladder to the Roof,The Supremes,1970, U.S.,US
89,Travelin' Band,Creedence Clearwater Revival,1970, U.S.,US
90,Come Saturday Morning,The Sandpipers,1970,California,US
91,Psychedelic Shack,The Temptations,1970, United States,US
92,Without Love (There Is Nothing),Tom Jones,1970, Wales,UK
93,Are You Ready?,Pacific Gas &amp; Electric,1970, United States,US
94,Woodstock,"Crosby, Stills, Nash &amp; Young",1970, United States,US
95,I'll Never Fall in Love Again,Dionne Warwick,1970, U.S.,US
96,Look What They've Done to My Song Ma,The New Seekers,1970, United Kingdom,UK
97,Walk A Mile In My Shoes,Joe South,1970, United States,US
98,The Thrill Is Gone,B.B. King,1970, U.S.,US
99,It's Only Make Believe,Glen Campbell,1970, U.S.,US
100,Call Me,Aretha Franklin,1970, U.S.,US
1,Joy to the World,Three Dog Night,1971, United States,US
2,Maggie May,Rod Stewart,1971, England,UK
3,It's Too Late,Carole King,1971, U.S.,US
4,One Bad Apple,The Osmonds,1971, U.S.,US
5,How Can You Mend a Broken Heart,Bee Gees,1971, England,UK
6,Indian Reservation (The Lament of the Cherokee Reservation Indian),Paul Revere &amp; the Raiders,1971, U.S.,US
7,Go Away Little Girl,Donny Osmond,1971, U.S.,US
8,"Take Me Home, Country Roads",John Denver,1971, U.S.,US
9,Just My Imagination (Running Away with Me),The Temptations,1971, United States,US
10,Knock Three Times,Tony Orlando and Dawn,1971, United States,US
11,Me and Bobby McGee,Janis Joplin,1971, U.S.,US
12,Tired of Being Alone,Al Green,1971, US,US
13,Want Ads,Honey Cone,1971, U.S.,US
14,Smiling Faces Sometimes,The Undisputed Truth,1971, U.S.,US
15,Treat Her Like a Lady,Cornelius Brothers &amp; Sister Rose,1971, U.S.,US
16,You've Got a Friend,James Taylor,1971, U.S.,US
17,Mr. Big Stuff,Jean Knight,1971, United States,US
18,Brown Sugar,The Rolling Stones,1971, England,UK
19,Do You Know What I Mean,Lee Michaels,1971, U.S.,US
20,The Night They Drove Old Dixie Down,Joan Baez,1971, New York,US
21,What's Going On,Marvin Gaye,1971, U.S.,US
22,Uncle Albert/Admiral Halsey,Paul,1971, England,UK
23,Ain't No Sunshine,Bill Withers,1971, U.S.,US
24,Signs,Five Man Electrical Band,1971, Canada,Canada
25,She's a Lady,Tom Jones,1971, Wales,UK
26,Superstar,Murray Head &amp; The Trinidad Singers,1971, United Kingdom,UK
27,I've Found Someone of My Own,The Free Movement,1971, U.S.,US
28,Amos Moses,Jerry Reed,1971, U.S.,US
29,Temptation Eyes,The Grass Roots,1971, United States,US
30,Superstar,The Carpenters,1971, United States,US
31,My Sweet Lord,George Harrison,1971, England,UK
32,Sweet and Innocent,Donny Osmond,1971, U.S.,US
33,Put Your Hand in the Hand,Ocean,1971, Canada,Canada
34,Chick-A-Boom (Don't Ya Jes' Love It),Daddy Dewdrop,1971, U.S.,US
35,For All We Know,The Carpenters,1971, United States,US
36,Help Me Make It Through the Night,Sammi Smith,1971, U.S.,US
37,Rainy Days and Mondays,The Carpenters,1971, United States,US
38,If You Could Read My Mind,Gordon Lightfoot,1971, Canada,Canada
39,"Gypsys, Tramps &amp; Thieves",Cher,1971, U.S.,US
40,Never Can Say Goodbye,The Jackson 5,1971, Indiana,US
41,Rose Garden,Lynn Anderson,1971, U.S.,US
42,Don't Pull Your Love,"Hamilton, Joe Frank &amp; Reynolds",1971, United States,US
43,It Don't Come Easy,Ringo Starr,1971, England,UK
44,Mr. Bojangles,Nitty Gritty Dirt Band,1971, United States,US
45,I Love You for All Seasons,The Fuzz,1971, U.S.,US
46,Whatcha See is Whatcha Get,The Dramatics,1971, United States,US
47,That's the Way I've Always Heard It Should Be,Carly Simon,1971, U.S.,US
48,If You Really Love Me,Stevie Wonder,1971, U.S.,US
49,Spanish Harlem,Aretha Franklin,1971, U.S.,US
50,I Don't Know How to Love Him,Helen Reddy,1971, Australia,Australia
51,Yo-Yo,The Osmonds,1971, U.S.,US
52,Bridge over Troubled Water,Aretha Franklin,1971, U.S.,US
53,Doesn't Somebody Want to Be Wanted,The Partridge Family,1971, U.S.,US
54,Draggin' the Line,Tommy James,1971, US,US
55,Proud Mary,Ike &amp; Tina Turner,1971, United States,US
56,Beginnings,Chicago,1971, United States,US
57,Stay Awhile,The Bells,1971, Canada,Canada
58,Sweet City Woman,The Stampeders,1971, Canada,Canada
59,Me and You and a Dog Named Boo,Lobo,1971, U.S.,US
60,Another Day,Paul McCartney,1971, England,UK
61,If,Bread,1971, United States,US
62,Mercy Mercy Me (The Ecology),Marvin Gaye,1971, U.S.,US
63,"""One Toke Over the Line""",Brewer &amp; Shipley,1971, U.S.,US
64,"""She's Not Just Another Woman""",8th Day,1971, U.S.,US
65,Bring the Boys Home,Freda Payne,1971, U.S.,US
66,I Just Want to Celebrate,Rare Earth,1971, U.S.,US
67,Never Ending Song of Love,Delaney &amp; Bonnie,1971, US,US
68,Easy Loving,Freddie Hart,1971, U.S.,US
69,Liar,Three Dog Night,1971, United States,US
70,Stick-Up,Honey Cone,1971, U.S.,US
71,Chirpy Chirpy Cheep Cheep,Mac and Katie Kissoon,1971,Trinidad,Trinidad
72,(Where Do I Begin?) Love Story,Andy Williams,1971, U.S.,US
73,Wild World,Cat Stevens,1971, England,UK
74,"When You're Hot, You're Hot",Jerry Reed,1971, U.S.,US
75,Funky Nassau,The Beginning of the End,1971, Bahamas,Bahamas
76,If Not for You,Olivia Newton-John,1971, England,UK
77,Groove Me,King Floyd,1971, United States,US
78,Watching Scotty Grow,Bobby Goldsboro,1971, United States[1],US
79,Woodstock,Matthews Southern Comfort,1971, England,UK
80,Amazing Grace,Judy Collins,1971, U.S.,US
81,I Hear You Knocking,Dave Edmunds,1971, Wales,UK
82,Lonely Days,Bee Gees,1971, England,UK
83,Here Comes That Rainy Day Feeling Again,The Fortunes,1971, England,UK
84,Won't Get Fooled Again,The Who,1971, England,UK
85,Trapped By a Thing Called Love,Denise LaSalle,1971, United States,US
86,Mama's Pearl,The Jackson 5,1971, Indiana,US
87,Timothy,The Buoys,1971, U.S.,US
88,I Woke Up In Love This Morning,The Partridge Family,1971, U.S.,US
89,Theme from Shaft,Isaac Hayes,1971, U.S.,US
90,If I Were Your Woman,Gladys Knight &amp; the Pips,1971, United States,US
91,I Am...I Said,Neil Diamond,1971, U.S.,US
92,The Wedding Song (There Is Love),Paul Stookey,1971, U.S.,US
93,Don't Knock My Love,Wilson Pickett,1971, United States,US
94,Love Her Madly,The Doors,1971, United States,US
95,Here Comes the Sun,Richie Havens,1971,United States,US
96,"""Sweet Mary""",Wadsworth Mansion,1971, U.S.,US
97,"""Right on the Tip of My Tongue""",Brenda &amp; the Tabulations,1971, U.S.,US
98,One Less Bell to Answer,The 5th Dimension,1971, United States,US
99,Riders on the Storm,The Doors,1971, United States,US
100,Somos Novios (It's Impossible),Perry Como,1971, U.S.,US
1,The First Time Ever I Saw Your Face,Roberta Flack,1972, U.S.,US
2,Alone Again (Naturally),Gilbert O'Sullivan,1972, England,UK
3,American Pie,Don McLean,1972, U.S.,US
4,Without You,Harry Nilsson,1972, U.S.,US
5,The Candy Man,Sammy Davis Jr.,1972, U.S.,US
6,I Gotcha,Joe Tex,1972, U.S.[3],US
7,Lean on Me,Bill Withers,1972, U.S.,US
8,"Baby, Don't Get Hooked on Me",Mac Davis,1972, United States,US
9,Brand New Key,Melanie,1972, US,US
10,Daddy Don't You Walk So Fast,Wayne Newton,1972, U.S.,US
11,Let's Stay Together,Al Green,1972, US,US
12,Brandy (You're a Fine Girl),Looking Glass,1972, United States,US
13,Oh Girl,The Chi-Lites,1972, United States,US
14,Nice to Be with You,Gallery,1972, U.S.,US
15,My Ding-a-Ling,Chuck Berry,1972, U.S.,US
16,(If Loving You Is Wrong) I Don't Want to Be Right,Luther Ingram,1972, U.S.,US
17,Heart of Gold,Neil Young,1972, Canada,Canada
18,"Betcha by Golly, Wow",The Stylistics,1972, U.S.,US
19,I'll Take You There,The Staple Singers,1972, IllinoisUnited States,US
20,Ben,Michael Jackson,1972, U.S.,US
21,The Lion Sleeps Tonight,Robert John,1972, 1946 (ageÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ 73),US
22,Outa-Space,Billy Preston,1972, U.S.,US
23,"""Slippin' Into Darkness""",War,1972, U.S.,US
24,Long Cool Woman in a Black Dress,The Hollies,1972, England,UK
25,How Do You Do,Mouth &amp; MacNeal,1972,Netherlands,Netherlands
26,Song Sung Blue,Neil Diamond,1972, U.S.,US
27,A Horse with No Name,America,1972, United Kingdom,UK
