rank,song,artist,year,nationality,country
8,Handy Man,Jimmy Jones,1960, U.S.,US
9,Stuck on You,Elvis Presley,1960, U.S.,US
10,The Twist,Chubby Checker,1960, U.S.,US
11,Everybody's Somebody's Fool,Connie Francis,1960, U.S.,US
12,Wild One,Bobby Rydell,1960, United States,US
13,"""Greenfields""",The Brothers Four,1960, United States,US
14,"""What in the World's Come Over You""",Jack Scott,1960, Canada,Canada
15,El Paso,Marty Robbins,1960, U.S.,US
16,Alley Oop,The Hollywood Argyles,1960, U.S.,US
17,My Heart Has a Mind of Its Own,Connie Francis,1960, U.S.,US
18,Sweet Nothin's,Brenda Lee,1960, US,US
19,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1960, United States,US
20,Only the Lonely,Roy Orbison,1960, U.S.,US
21,Where or When,Dion and the Belmonts,1960, New York City,US
22,Sixteen Reasons,Connie Stevens,1960, U.S.,US
23,Puppy Love,Paul Anka,1960, Canada,Canada
24,Why,Frankie Avalon,1960, U.S.,US
25,"Walk, Don't Run",The Ventures,1960, United States,US
26,Save the Last Dance for Me,The Drifters,1960, U.S.,US
27,Baby (You've Got What It Takes),Dinah Washington,1960, U.S.,US
28,Sink the Bismarck,Johnny Horton,1960, United States,US
29,Chain Gang,Sam Cooke,1960, U.S.,US
30,Let It Be Me,The Everly Brothers,1960, Iowa,US
31,Good Timin',Jimmy Jones,1960, U.S.,US
32,Beyond the Sea,Bobby Darin,1960, U.S.,US
33,"Go, Jimmy, Go",Jimmy Clanton,1960, United States,US
34,"""Night""",Jackie Wilson,1960, U.S.,US
35,Burning Bridges,Jack Scott,1960, Canada,Canada
36,The Big Hurt,Toni Fisher,1960, U.S.,US
37,Because They're Young,Duane Eddy,1960, U.S.,US
38,"""Lonely Blue Boy""",Conway Twitty,1960, Arkansas,US
39,Pretty Blue Eyes,Steve Lawrence,1960, U.S.,US
40,Way Down Yonder in New Orleans,Freddy Cannon,1960, U.S.,US
41,Paper Roses,Anita Bryant,1960, U.S.,US
42,Mr. Custer,Larry Verne,1960, U.S.,US
43,I Want to Be Wanted,Brenda Lee,1960, US,US
44,Mule Skinner Blues,The Fendermen,1960, U.S.,US
45,Cradle of Love,Johnny Preston,1960, United States,US
46,You Got What It Takes,Marv Johnson,1960, U.S.,US
47,"Please Help Me, I'm Falling",Hank Locklin,1960, United States,US
48,"""Love You So""",Ron Holden,1960, US,US
